35300 	1
27300 	2
37500 	3
53500 	4
28400 	5
29900 	6
44500 	7
71200 	8
39000 	9
79200 	10
48900 	11
108000 	12
68500 	13
75200 	14
76400 	15
71000 	16
45200 	17
41700 	18
37700 	19
46600 	20
47400 	21
48200 	22
57500 	23
56800 	24
66600 	25
70500 	26
259500 	27
95700 	28
94100 	29
93700 	30
98100 	31
142800 	32
128300 	33
129700 	34
120700 	35
100900 	36
90500 	37
98700 	38
101500 	39
108700 	40
108900 	41
118200 	42
122200 	43
128500 	44
133200 	45
150100 	46
144700 	47
153200 	48
159500 	49
162900 	50
168500 	51
176700 	52
180600 	53
187000 	54
195200 	55
200500 	56
209200 	57
217200 	58
221600 	59
231800 	60
237500 	61
285200 	62
253900 	63
261900 	64
268400 	65
274800 	66
297400 	67
292900 	68
298800 	69
308300 	70
315700 	71
325300 	72
333600 	73
344700 	74
352800 	75
361900 	76
371200 	77
380400 	78
388200 	79
398300 	80
693800 	81
706400 	82
446500 	83
452400 	84
450200 	85
460800 	86
469800 	87
479600 	88
489600 	89
535900 	90
537200 	91
361100 	92
370800 	93
378900 	94
383900 	95
394500 	96
400700 	97
687800 	98
656200 	99
1157000 	100
618000 	101
347200 	102
346100 	103
352100 	104
661800 	105
993200 	106
717000 	107
140500 	108
118700 	109
120600 	110
131200 	111
108200 	112
208000 	113
207400 	114
240200 	115
209100 	116
211700 	117
213700 	118
114000 	119
116200 	120
117600 	121
118000 	122
118000 	123
118400 	124
122000 	125
121800 	126
180100 	127
135200 	128
187200 	129
222700 	130
132500 	131
83800 	132
81600 	133
84800 	134
84100 	135
85200 	136
84900 	137
87100 	138
91500 	139
89200 	140
90100 	141
90900 	142
92600 	143
105600 	144
89800 	145
91800 	146
100900 	147
92900 	148
95800 	149
95700 	150
96500 	151
98900 	152
99600 	153
100600 	154
99900 	155
101100 	156
104900 	157
105100 	158
105300 	159
108800 	160
116700 	161
109700 	162
113800 	163
114800 	164
121900 	165
124600 	166
116400 	167
116500 	168
124600 	169
121000 	170
117200 	171
119700 	172
120900 	173
120400 	174
121500 	175
122800 	176
122900 	177
125200 	178
129600 	179
139200 	180
137900 	181
153900 	182
134400 	183
134400 	184
136500 	185
134900 	186
144200 	187
148200 	188
165700 	189
143300 	190
166500 	191
142000 	192
141100 	193
150300 	194
157800 	195
